,u1_id,u2_id,u1_willing,u2_willing,similarity
0,1,3700,1,0,10
1,2,1041,1,0,9
2,3,1442,0,0,9
3,4,861,0,1,7
4,5,801,1,1,5
5,6,2315,0,1,8
6,7,297,0,0,10
7,8,1352,1,0,9
8,9,875,0,0,10
9,10,3707,0,1,11
10,11,1334,0,0,5
11,12,782,0,0,11
12,13,965,1,0,5
13,15,3608,1,0,10
14,9,16,1,1,13
15,17,127,0,0,11
16,18,2602,0,1,5
17,19,2592,0,0,4
18,20,3682,0,0,10
19,21,283,1,0,8
20,22,2394,1,0,9
21,23,3418,1,0,12
22,24,3562,1,0,14
23,25,50,1,0,6
24,26,1911,0,0,9
25,27,900,0,0,9
26,28,3746,0,1,4
27,28,29,0,1,2
28,30,2183,0,0,10
29,31,120,0,0,5
30,32,2131,0,0,3
31,34,1335,0,0,8
32,35,2186,0,0,12
33,36,2522,1,0,9
34,37,1797,0,1,7
35,38,328,0,0,8
36,39,215,0,0,10
37,40,66,0,1,7
38,41,873,0,0,8
39,42,1383,0,0,11
40,43,2425,1,0,10
41,44,1976,0,0,12
42,45,978,0,0,10
43,47,1731,0,1,6
44,48,623,0,1,12
45,49,3828,1,0,11
46,51,3055,1,0,10
47,52,1658,0,0,10
48,53,2157,0,0,4
49,54,3645,0,0,5
50,55,1358,1,0,10
51,56,146,0,0,11
52,17,57,1,0,10
53,58,83,1,1,8
54,19,59,0,0,11
55,60,1686,0,0,4
56,61,3551,0,0,9
57,15,62,1,0,14
58,63,1209,0,1,7
59,64,2975,0,0,12
60,65,226,0,0,5
61,67,2698,0,1,14
62,68,73,0,1,8
63,69,579,0,0,2
64,70,661,0,0,9
65,71,920,0,0,1
66,72,85,1,1,7
67,74,1636,0,1,9
68,75,547,1,0,5
69,76,2531,0,0,10
70,77,3366,0,0,9
71,78,304,0,0,10
72,79,2980,1,0,9
73,80,813,0,0,11
74,81,3802,0,0,6
75,82,188,0,0,8
76,83,3022,0,1,12
77,84,859,0,0,7
78,86,2155,0,0,15
79,87,226,0,0,9
80,85,88,1,1,3
81,89,3680,0,0,12
82,90,2331,0,1,8
83,91,2531,0,0,9
84,50,92,0,0,2
85,93,2276,0,1,11
86,94,3203,1,0,6
87,95,3852,0,0,9
88,96,264,1,1,6
89,97,1002,0,0,9
90,98,1320,0,0,9
91,99,613,1,1,10
92,100,819,0,1,13
93,101,2748,0,0,5
94,102,3322,1,0,9
95,103,2093,1,0,9
96,104,118,0,1,10
97,105,2798,0,0,10
98,106,2983,0,0,11
99,107,1393,0,0,9
100,108,605,1,0,8
101,109,558,1,0,9
102,110,3378,0,0,7
103,111,1368,1,0,3
104,112,1538,1,0,7
105,113,1003,0,1,8
106,114,290,1,1,12
107,115,1916,0,0,7
108,116,2540,0,0,8
109,117,3138,1,0,12
110,118,1091,1,1,9
111,119,2926,0,0,11
112,121,548,0,0,2
113,122,764,1,0,0
114,123,2872,0,1,11
115,125,3731,0,0,6
116,126,1508,0,0,1
117,127,1313,0,1,10
118,128,1839,1,1,8
119,129,1673,0,0,9
120,130,437,0,0,7
121,41,131,0,0,11
122,132,2112,0,0,8
123,133,1689,1,1,3
124,134,2687,0,1,11
125,135,3673,0,0,6
126,136,877,1,0,7
127,137,715,0,0,5
128,138,2512,0,0,8
129,139,658,1,1,6
130,140,1253,0,1,6
131,141,1940,0,0,11
132,142,3257,0,0,8
133,143,881,0,0,8
134,145,2926,0,1,6
135,146,503,1,0,6
136,147,2111,0,0,6
137,148,3639,1,1,8
138,149,1445,0,0,12
139,150,172,0,1,7
140,151,3775,0,0,3
141,152,1039,1,0,8
142,153,2944,0,0,10
143,154,355,0,0,11
144,155,1059,1,0,8
145,156,2748,0,0,7
146,157,513,0,1,8
147,158,236,0,0,11
148,159,2979,1,0,9
149,161,1097,1,0,7
150,162,532,0,0,9
151,164,237,0,0,6
152,142,165,0,0,10
153,167,842,0,0,9
154,107,168,0,0,5
155,169,1872,0,1,12
156,170,247,0,1,9
157,171,329,0,0,9
158,173,3549,1,0,13
159,174,217,0,0,1
160,175,3536,0,0,10
161,176,191,0,1,12
162,178,461,0,0,1
163,179,220,1,0,4
164,21,180,1,0,8
165,181,461,0,0,7
166,182,496,1,1,7
167,183,1619,0,1,8
168,184,1339,0,0,5
169,185,1209,1,0,10
170,186,495,1,0,12
171,149,187,0,1,10
172,189,1470,0,0,8
173,190,853,0,0,13
174,191,1851,0,0,10
175,192,3251,1,0,8
176,193,1246,1,0,11
177,194,2349,1,0,5
178,195,1400,0,0,8
179,196,3694,1,1,11
180,197,324,1,1,16
181,199,1229,0,1,10
182,200,3845,1,0,13
183,201,880,0,0,10
184,202,244,1,0,11
185,203,1625,1,1,1
186,204,255,0,0,11
187,66,205,1,0,9
188,206,861,1,0,7
189,207,3388,0,0,12
190,172,208,0,0,4
191,209,1937,0,1,1
192,210,713,1,0,12
193,211,496,0,0,8
194,212,3087,0,1,6
195,213,968,0,1,8
196,214,568,1,0,3
197,215,2576,0,0,9
198,216,785,0,0,12
199,217,460,1,0,0
200,218,3088,0,0,10
201,219,3212,0,0,0
202,145,222,0,0,9
203,62,223,0,1,6
204,224,594,1,0,12
205,201,225,0,0,8
206,226,2711,0,1,11
207,227,3343,0,1,7
208,228,3295,1,0,11
209,229,3042,1,1,7
210,230,3365,0,0,10
211,231,1566,0,1,9
212,232,2527,0,0,9
213,233,3727,0,0,11
214,234,1181,0,1,9
215,235,636,1,0,9
216,236,252,0,1,5
217,238,1549,1,0,2
218,239,735,0,1,12
219,240,1090,0,0,3
220,183,241,0,1,11
221,64,242,0,0,8
222,235,243,1,0,13
223,245,2519,0,0,6
224,246,2262,0,0,9
225,247,1771,0,0,10
226,232,248,0,1,10
227,249,784,0,1,13
228,250,1934,0,0,7
229,251,3241,1,1,4
230,253,1243,0,0,15
231,254,2412,1,0,13
232,256,526,0,1,5
233,257,3798,1,0,4
234,258,1492,1,0,7
235,259,3487,1,0,12
236,260,910,0,1,11
237,261,1631,1,0,8
238,262,485,0,1,8
239,263,2121,0,0,8
240,265,1556,1,0,13
241,266,1217,1,1,0
242,267,2462,1,1,6
243,268,2740,0,0,12
244,269,1199,1,1,7
245,270,647,1,0,8
246,271,3561,0,1,5
247,272,2737,0,0,8
248,273,1243,1,0,8
249,274,2503,0,0,9
250,275,2116,0,0,10
251,276,1449,1,0,10
252,277,517,0,0,3
253,278,762,0,0,6
254,279,3638,1,0,8
255,280,2512,0,0,7
256,281,590,1,0,9
257,282,829,1,1,17
258,283,2522,0,0,6
259,84,284,0,0,8
260,34,285,0,0,11
261,287,1796,0,0,8
262,288,1198,0,0,11
263,289,2262,1,0,6
264,129,290,1,0,10
265,292,3150,0,0,7
266,1,293,0,0,10
267,295,1342,0,0,8
268,296,469,1,0,5
269,298,3166,0,0,1
270,299,834,0,0,10
271,300,858,0,0,7
272,297,301,1,0,8
273,302,1697,0,0,9
274,303,3621,0,1,6
275,305,3108,0,0,11
276,306,1767,0,0,11
277,307,1573,1,0,13
278,308,739,1,1,15
279,310,560,1,0,9
280,311,2423,0,0,9
281,312,1830,1,0,10
282,313,1412,0,0,12
283,314,2763,1,0,9
284,315,1710,1,1,3
285,316,2496,1,1,11
286,317,2048,0,0,6
287,318,2815,1,0,6
288,319,569,0,0,6
289,320,1095,0,0,8
290,321,2242,0,0,8
291,322,560,0,0,7
292,323,1482,0,0,7
293,324,1811,0,0,15
294,151,325,0,0,9
295,80,326,0,0,11
296,329,3225,0,0,7
297,330,3399,0,0,8
298,331,1743,1,0,7
299,332,2116,1,0,5
300,334,1506,0,0,10
301,335,637,0,0,8
302,336,2989,0,0,15
303,337,441,1,1,11
304,338,695,0,0,9
305,339,1185,1,1,9
306,340,1788,0,0,9
307,341,3081,0,1,8
308,342,2029,0,0,10
309,343,1458,0,0,14
310,344,1217,0,0,0
311,345,1916,1,0,6
312,346,2390,0,0,13
313,70,347,0,0,6
314,348,743,0,0,8
315,349,924,1,1,9
316,350,2530,0,0,12
317,351,1387,0,0,9
318,352,367,1,0,5
319,127,353,0,0,7
320,354,3086,0,0,9
321,355,3086,0,0,11
322,356,2017,0,0,3
323,357,2712,0,0,10
324,359,3055,0,0,12
325,360,2438,1,1,8
326,361,3514,0,0,11
327,362,985,0,1,9
328,363,1539,1,0,6
329,364,1275,0,0,0
330,365,2938,0,0,9
331,366,3499,0,0,9
332,368,3328,0,0,8
333,369,963,0,0,8
334,370,3611,0,0,11
335,372,1501,1,0,11
336,373,3647,1,1,9
337,374,1333,1,0,11
338,375,558,1,0,7
339,376,3020,1,0,9
340,377,1063,1,0,12
341,331,378,0,0,10
342,379,2561,0,0,6
343,380,3747,0,1,7
344,281,381,1,0,12
345,382,3071,0,0,7
346,383,2743,0,1,6
347,384,3270,1,0,13
348,385,2920,1,0,6
349,386,1570,1,0,8
350,387,741,1,0,10
351,388,758,1,1,6
352,389,893,0,0,8
353,390,1324,1,0,7
354,391,2843,1,0,11
355,392,581,0,0,14
356,393,3613,0,0,3
357,395,1485,0,0,16
358,396,3713,0,0,7
359,397,1111,0,1,14
360,398,1235,0,0,5
361,400,1338,0,0,6
362,401,3412,1,0,8
363,402,1190,1,0,8
364,403,468,0,0,5
365,5,404,0,0,6
366,405,3758,0,0,9
367,406,2088,0,0,13
368,407,2537,0,1,12
369,408,2706,0,0,10
370,409,1225,0,1,9
